factor,baseline,patches,events,high_low_paired_events,within_event_spearman_rho,within_event_spearman_p,low_mean_ap_delta,middle_mean_ap_delta,high_mean_ap_delta,high_minus_low,high_minus_low_ci95_low,high_minus_low_ci95_high
min_pair_cloudscore_plus,ir_mad,1159,5,5,-0.08239002528625669,0.005006123273267093,0.032205305981495264,0.006592812515980935,0.004797858227244009,-0.027407447754251253,-0.06697456179519853,0.014756802489870388
min_pair_cloudscore_plus,pca_diff,1159,5,5,-0.08575248234024052,0.0034824076909790534,0.06838796046382031,0.037187628314229663,0.033343621247692724,-0.03504433921612759,-0.10055054147083856,0.025271475641581866
min_pair_cloudscore_plus,raw_l2,1159,5,5,-0.11271612134135092,0.0001203375542907413,0.0808697749401192,0.07318513866951344,0.04410731517646317,-0.036762459763656025,-0.09387445080646596,0.01814627001752223
cloudscore_change,ir_mad,1159,5,5,0.11009772275699899,0.0001729582754028778,0.015044418795663905,-0.0019788141304566452,0.03233387277263849,0.01728945397697458,-0.018654635942510968,0.05788682213685816
cloudscore_change,pca_diff,1159,5,5,0.06710529784306059,0.022333406388293717,0.04322333954530325,0.0320193736953149,0.0651433612748819,0.021920021729578652,-0.0299941230243449,0.08970358871966276
cloudscore_change,raw_l2,1159,5,5,0.07929317952440627,0.006917196691108337,0.05906440137875731,0.06517223121173639,0.07605100052739255,0.01698659914863524,-0.031830080988699695,0.07313749646134378
date_gap_days,ir_mad,1159,5,0,0.04399689531808947,0.13440812610689043,0.024067274830099357,0.013101844951162248,0.023185084537484274,-0.0008821902926150829,nan,nan
date_gap_days,pca_diff,1159,5,0,0.050399121373542896,0.08633959663579203,0.03824080325792289,0.04544608783876725,0.06218086314611723,0.023940059888194344,nan,nan
date_gap_days,raw_l2,1159,5,0,0.014378451230840384,0.6248428619043799,0.044493873594073016,0.06452528380397506,0.09201344591086924,0.047519572316796224,nan,nan
