aoi,method,mean_ap,mean_auroc,mean_top5_recall,mean_top5_enrichment
L15-0361E-1300N_1446_2989_13,raw_l2,0.10752020921725923,0.8723758970030621,0.6553642082164695,13.107225715857593
L15-0361E-1300N_1446_2989_13,smoothed_pca_sigma1,0.018729698898001582,0.8773808849891659,0.5514462833295131,11.028876489034646
L15-0361E-1300N_1446_2989_13,ir_mad,0.02884840600571675,0.8927038241954088,0.6211289791939926,12.422524644952288
L15-0361E-1300N_1446_2989_13,band_image_ds,0.0420092764244277,0.8278854439549398,0.5103239066603212,10.206434308762638
L15-0361E-1300N_1446_2989_13,band_image_cross_reconstruction,0.08247237356858368,0.8353956289249562,0.5465692644466861,10.931338476714531
L15-0361E-1300N_1446_2989_13,band_image_projector_distance,0.012389150401875399,0.7339180813121129,0.3443396283707359,6.8867634518562175
L15-0586E-1127N_2345_3680_13,raw_l2,0.1392708077530861,0.7859366150966562,0.48471028118448695,9.694133355293175
L15-0586E-1127N_2345_3680_13,smoothed_pca_sigma1,0.06961166254448016,0.8007895567053843,0.36748490890598845,7.349642623783768
L15-0586E-1127N_2345_3680_13,ir_mad,0.03847107029932309,0.8320395058431395,0.5096936316254164,10.193798052752745
L15-0586E-1127N_2345_3680_13,band_image_ds,0.01067501079300029,0.7447730193645518,0.2820911834351077,5.6417839659679005
L15-0586E-1127N_2345_3680_13,band_image_cross_reconstruction,0.029512258644372385,0.7943831765093706,0.4096869110753521,8.193679711597902
L15-0586E-1127N_2345_3680_13,band_image_projector_distance,0.0013958583275851637,0.5977639632976289,0.06950092752240673,1.3900079961498302
L15-1203E-1203N_4815_3378_13,raw_l2,0.012185026943456174,0.6949517170081667,0.3668405423142594,7.336702447565021
L15-1203E-1203N_4815_3378_13,smoothed_pca_sigma1,0.007544674030762707,0.8194747988378858,0.3160956529598494,6.321821010188932
L15-1203E-1203N_4815_3378_13,ir_mad,0.008358628558310528,0.8070062591823892,0.3612371204178934,7.224637386462061
L15-1203E-1203N_4815_3378_13,band_image_ds,0.008762640765746678,0.7897726819080403,0.36992208774949753,7.398332506662032
L15-1203E-1203N_4815_3378_13,band_image_cross_reconstruction,0.017249113855874867,0.8085683290046025,0.4053211715358851,8.106304740199077
L15-1203E-1203N_4815_3378_13,band_image_projector_distance,0.005398910549719126,0.7147340044438644,0.2367327523093422,4.734584123893993
